2017-10-06 00:18:30	2017-10-06 00:18:30
2017-10-06 00:18:58	2017-10-06 00:19:08
2017-10-06 00:20:53	2017-10-06 00:21:03
2017-10-06 00:21:18	2017-10-06 00:21:28
2017-10-06 00:21:37	2017-10-06 00:21:47
2017-10-06 00:22:06	2017-10-06 00:22:48
2017-10-06 00:23:03	2017-10-06 00:24:10
2017-10-06 00:26:16	2017-10-06 00:26:32
2017-10-06 00:44:43	2017-10-06 00:45:03
2017-10-06 00:51:11	2017-10-06 00:51:35
2017-10-06 00:53:23	2017-10-06 00:54:11
2017-10-06 00:54:17	2017-10-06 00:55:13
2017-10-06 00:56:01	2017-10-06 00:56:51
2017-10-06 01:03:34	2017-10-06 01:04:16
2017-10-06 01:04:37	2017-10-06 01:06:31
2017-10-06 01:06:34	2017-10-06 01:08:13
2017-10-06 01:08:43	2017-10-06 01:09:14
2017-10-06 01:09:46	2017-10-06 01:10:21
2017-10-06 01:10:53	2017-10-06 01:11:08
2017-10-06 01:19:33	2017-10-06 01:22:09
2017-10-06 01:26:30	2017-10-06 01:28:06
2017-10-06 01:37:56	2017-10-06 01:38:10
2017-10-06 01:38:43	2017-10-06 01:38:57
2017-10-06 01:39:05	2017-10-06 01:39:17
2017-10-06 01:39:55	2017-10-06 01:40:00
2017-10-06 01:40:15	2017-10-06 01:40:26
2017-10-06 01:40:34	2017-10-06 01:40:42
2017-10-06 01:40:50	2017-10-06 01:41:06
2017-10-06 01:41:13	2017-10-06 01:41:17
2017-10-06 01:43:10	2017-10-06 01:43:24
2017-10-06 01:44:32	2017-10-06 01:44:35
2017-10-06 01:44:50	2017-10-06 01:45:01
2017-10-06 01:46:08	2017-10-06 01:46:25
2017-10-06 01:46:33	2017-10-06 01:46:45
2017-10-06 01:47:36	2017-10-06 01:47:54
2017-10-06 01:48:07	2017-10-06 01:48:23
2017-10-06 01:49:12	2017-10-06 01:49:23
2017-10-06 01:49:29	2017-10-06 01:49:43
2017-10-06 01:49:53	2017-10-06 01:50:02
2017-10-06 01:50:40	2017-10-06 01:50:42
2017-10-06 01:50:48	2017-10-06 01:51:01
2017-10-06 01:51:22	2017-10-06 01:51:58
2017-10-06 01:52:19	2017-10-06 01:52:29
2017-10-06 01:53:04	2017-10-06 01:53:06
2017-10-06 01:55:08	2017-10-06 01:55:16
2017-10-06 01:56:19	2017-10-06 01:56:24
2017-10-06 01:56:48	2017-10-06 01:57:03
2017-10-06 01:59:34	2017-10-06 01:59:42
2017-10-06 01:59:51	2017-10-06 02:00:01
2017-10-06 02:00:10	2017-10-06 02:00:19
2017-10-06 02:00:36	2017-10-06 02:00:41
2017-10-06 02:00:50	2017-10-06 02:00:55
2017-10-06 02:01:01	2017-10-06 02:01:25
2017-10-06 02:03:03	2017-10-06 02:03:15
2017-10-06 02:03:37	2017-10-06 02:03:42
2017-10-06 02:03:55	2017-10-06 02:03:57
2017-10-06 02:04:03	2017-10-06 02:04:07
2017-10-06 02:04:23	2017-10-06 02:04:29
2017-10-06 02:04:38	2017-10-06 02:04:41
2017-10-06 02:05:10	2017-10-06 02:05:21
2017-10-06 02:05:37	2017-10-06 02:05:51
2017-10-11 00:29:00	2017-10-11 00:29:15
2017-10-12 23:57:08	2017-10-13 00:03:38
2017-10-13 00:03:46	2017-10-13 00:08:34
2017-10-13 00:45:58	2017-10-13 00:49:14
2017-10-13 01:04:47	2017-10-13 01:08:46
2017-10-13 01:09:56	2017-10-13 01:10:47
2017-10-13 01:14:49	2017-10-13 01:15:41
2017-10-13 01:21:57	2017-10-13 01:24:12
2017-10-13 01:24:15	2017-10-13 01:24:35
2017-10-13 01:25:04	2017-10-13 01:30:23
2017-10-13 01:40:10	2017-10-13 01:48:52
2017-10-13 01:48:54	2017-10-13 02:01:36
2017-10-13 02:01:39	2017-10-13 02:02:20
2017-10-13 02:05:22	2017-10-13 02:06:21
2017-10-13 02:12:52	2017-10-13 02:17:29
2017-10-13 02:17:32	2017-10-13 02:18:27
2017-10-13 02:22:15	2017-10-13 02:23:04
2017-10-13 02:29:27	2017-10-13 02:37:19
2017-10-13 02:37:22	2017-10-13 02:39:45
2017-10-17 23:24:11	2017-10-17 23:24:16
2017-10-17 23:48:21	2017-10-17 23:48:39
2019-01-10 04:47:06	2019-01-10 04:48:04
2019-02-07 23:04:17	2019-02-07 23:04:43
2019-02-08 00:30:02	2019-02-08 00:30:05
2019-02-08 02:34:04	2019-02-08 02:37:54
2019-02-08 02:46:19	2019-02-08 02:47:46
2019-02-08 02:50:01	2019-02-08 02:50:17
2019-02-08 02:50:51	2019-02-08 02:50:56
2019-02-21 21:56:37	2019-02-21 21:56:45
2019-02-21 22:48:41	2019-02-21 22:49:45
2019-02-21 22:53:17	2019-02-21 22:53:44
2019-02-21 22:58:43	2019-02-21 22:58:55
2019-02-21 23:00:11	2019-02-21 23:01:33
2019-03-29 02:11:25	2019-03-29 02:12:13
2019-03-29 02:11:12	2019-03-29 02:12:15
2019-03-29 02:30:01	2019-03-29 02:30:04
2019-03-29 02:32:45	2019-03-29 02:32:49
2019-03-29 02:48:41	2019-03-29 02:48:59
2019-03-29 03:25:19	2019-03-29 03:25:25
